Gene,log2FC,pvalue
JUP,-0.453467973,0.003636385
AC073111.3,-0.313963576,0.024197891
PLXND1,-0.418474765,0.000182962
QSER1,-0.648267512,5.95E-19
AOC3,-0.044336608,0.78273207
TSC22D2,-0.199741899,0.026450777
ATP8A2,-0.465105243,5.25E-05
YWHAH,-0.258772722,1.58E-06
ANKRD26,-0.330223007,0.000959819
C17orf113,-0.106964871,0.496506133
AGO4,-0.269685106,0.002440169
NEK2,-0.089288191,0.164996555
SIMC1,-0.335957821,5.60E-07
SUGCT,-0.093681434,0.55127379
RIF1,-0.659034868,1.58E-23
ZBTB12,-0.287581279,0.038752218
ZNF714,-0.384945582,2.03E-06
LUC7L2,-0.245265526,1.31E-07
KIAA1683,-0.003487422,0.985398161
CHD2,-0.363050441,1.67E-06
KTN1,-0.197157688,0.000834546
PHF2,-0.249553986,0.00203815
NEIL2,-0.197108608,0.201895381
BRD3,-0.39168207,2.14E-12
NLGN3,0.060671878,0.728688321
SLC5A6,-0.147569863,0.087404947
PAXIP1,-0.307854556,1.13E-06
PER2,-0.610754783,2.34E-11
SMAGP,-0.362550502,0.035301549
TYMS,-0.156409868,0.000260173
CDCA4,-0.042143768,0.557223013
B3GNT4,-0.163870751,0.334097035
AUNIP,-0.392819229,0.001265947
IQCC,-0.174141312,0.208200059
DLX2,-0.227561976,0.208421967
MTMR9,-0.266383182,0.011158029
TUBG1,-0.196864283,0.001945055
ZNF8,-0.399428086,4.34E-05
RUNX3,-0.21767892,0.023625539
CADM4,-0.337267619,0.021274182
IPO9,-0.33311399,3.49E-09
LRPPRC,-0.353579858,2.13E-18
CHERP,-0.364849015,1.97E-06
FAIM,-0.110505251,0.372255808
MAGI1,-0.317478103,0.003585908
CWF19L2,-0.179376642,0.045950938
AMIGO1,-0.121909258,0.381326927
PRPF3,-0.492676153,4.59E-13
CNP,-0.079533835,0.190972399
TTLL12,-0.304540503,0.000246296
KIF22,-0.166459299,0.001498472
RNF138,-0.321508947,9.46E-09
RPS6KA5,-0.431439483,4.73E-05
PRR7,0.026103251,0.858727352
HNRNPH3,-0.377808945,2.91E-07
CHD3,-0.559518033,5.53E-22
RYBP,-0.393171716,2.24E-08
CFTR,-0.219638099,6.02E-07
ZNRF2,0.020173333,0.816898116
C18orf54,-0.325742796,0.001667113
CEP152,-0.405371423,1.98E-05
IFT140,-0.321693147,0.009335679
SRSF6,-0.324361558,9.50E-13
MEGF9,-0.289013811,0.00019164
ITGA6,-0.450066881,7.64E-18
PYROXD1,-0.072702965,0.456830336
ZNF611,-0.374003488,0.000589958
COL9A2,-0.334468294,0.027814971
HSPBAP1,-0.099028043,0.455853121
POLD3,-0.355622803,1.69E-05
BPTF,-0.598759689,2.41E-19
PDE9A,-0.254658815,0.05071208
TRPV6,-0.130187221,0.463276679
NUP188,-0.441070835,4.32E-17
DEDD,-0.170424879,0.041669949
ZNF493,-0.317286322,9.80E-05
TCF3,-0.33840324,8.04E-05
EP400,-0.559553502,2.45E-13
XYLB,-0.403790741,0.001038932
SPATS2,-0.269767427,0.000970411
TAF8,-0.391886214,1.42E-09
RAD54L,-0.429385239,3.87E-10
SMURF2,-0.281614454,0.001682299
IFITM2,0.00466867,0.979574598
STAU2,-0.275494406,4.31E-07
TUBA1C,-0.093203458,0.193753657
NASP,-0.216824538,5.96E-05
CPT1B,-0.102570179,0.551028239
YPEL1,-0.177696272,0.095346154
SLC7A3,-0.191374281,0.030906368
SMN1,0.073713556,0.561076135
ARMC9,-0.02038897,0.886192608
ADCK2,0.007508927,0.92587496
TTC21B,-0.392498913,9.50E-07
SYTL3,-0.020326581,0.909858653
ORC6,-0.191226365,0.009034407
WDR76,-0.336348652,7.56E-09
TK1,-0.000617127,0.994230211
DNAJC9,-0.157578796,0.022272009
CTXN1,0.023350604,0.874125961
MICU2,-0.094311974,0.212638126
BAG3,-0.31280512,0.078402985
C1orf112,-0.214621952,0.01132658
NPR2,-0.132828097,0.430849352
PTER,-0.364658186,2.92E-07
MTX3,-0.328102075,6.78E-05
ANKFN1,-0.218384643,0.153913304
SLC12A4,0.0002683,0.997525059
BCL7B,-0.070066628,0.348570129
ZNF367,-0.344576293,6.67E-06
ITPRIP,-0.102369884,0.320588025
TRIM66,-0.274760016,0.069198999
MED21,-0.050178172,0.577399948
AC092821.1,-0.262750894,0.143681604
MKS1,-0.03480277,0.714772579
PTPRA,-0.089753946,0.086752851
CTCF,-0.439518403,5.85E-22
MBOAT2,-0.242476454,0.007089303
BEND4,-0.525885325,7.33E-08
MICAL3,-0.317276795,0.0467846
DDIAS,-0.303459897,0.000122241
HEBP1,-0.143114158,0.34106809
SMPD3,-0.126458526,0.083049268
SIAH1,-0.132587929,0.111338841
PRPF40B,-0.102676704,0.544821141
RMI1,-0.391663769,1.20E-07
MNX1,-0.143036845,0.343124441
ZNF117,-0.272969969,0.004514229
SCCPDH,-0.036322528,0.525386468
H1FX,0.116291027,0.147464336
C5orf42,-0.485900195,1.42E-06
ZNF438,-0.270565008,0.068831545
RAI1,-0.369397229,0.000132944
LCT,-0.447751325,0.010047503
IPO11,-0.352682775,1.10E-06
DCLRE1B,-0.301738353,1.94E-05
PDE7A,-0.375646753,1.78E-12
DOPEY2,-0.342609415,0.009652668
TKFC,0.004222187,0.970611024
GXYLT1,-0.33081056,2.01E-07
CPM,-0.241557026,0.058576521
EPHX1,0.197710088,0.127289148
MESP1,-0.304308331,0.067800763
LHX9,-0.38542433,0.023636461
ANLN,-0.325446914,1.88E-05
TRNP1,-0.177837055,0.289238919
TUBB6,-0.145945227,0.232727363
NUCKS1,-0.361991094,2.09E-10
KDM5D,-0.262184988,0.001912891
ZNF585A,-0.274477747,0.024589802
SUN3,-0.150209655,0.19709079
RNF182,-0.267755561,0.102791179
VANGL2,-0.298675253,0.020313854
PRRC2A,-0.438539041,1.64E-08
NXT2,-0.126853343,0.158230901
LRIG3,-0.201549355,0.084604914
ZNF74,-0.114348476,0.432281585
BCL7A,-0.30716163,5.02E-08
ICE2,-0.159749826,0.009052156
CDC25B,-0.329566245,7.40E-08
POGZ,-0.497172969,2.11E-20
UHRF1,-0.557212396,1.79E-22
ZNF592,-0.382156847,5.44E-08
NBPF15,-0.295413321,0.062151063
STRBP,-0.33625383,1.49E-07
SENP6,-0.277185127,5.63E-05
STK35,-0.286695884,0.00026611
PPP1R32,0.042851691,0.815116493
SLC9B2,-0.225749932,0.009471921
GNPDA1,-0.18380801,0.010687876
CEP85,-0.296422842,3.61E-06
GALNT10,-0.292234247,0.024350653
TGFBR1,-0.263801126,0.001834124
PKNOX1,-0.2066663,0.002493445
USP27X,-0.072216359,0.632623429
CBR3,0.075039714,0.680054136
MSRB3,-0.509469334,4.97E-13
CD83,-0.35590709,1.63E-07
FAM49B,-0.136789015,0.005879762
PNN,-0.588336629,3.00E-19
EPHX4,0.098388976,0.520162999
HDHD2,-0.096675654,0.20724438
NAP1L1,-0.150205406,0.005490761
XPO1,-0.427672872,4.74E-23
ZBTB44,-0.424917751,4.77E-13
PHF11,-0.221194767,0.057713383
GMEB1,-0.253134784,0.012669611
FBXL17,-0.19259452,0.01309406
CTSO,-0.296156209,0.091757791
URGCP,-0.187740096,0.025235145
PKD1,-0.161448087,0.247715309
CROCC,-0.124343904,0.441887609
DCLRE1A,-0.298044224,0.000321043
ALDH5A1,-0.360508238,1.22E-15
ARHGAP10,-0.215730975,0.202625024
COL16A1,-0.047078003,0.794211129
TCHP,-0.348046853,3.15E-06
SMAD4,-0.232935646,7.10E-06
DHX58,-0.031991603,0.864606787
LARP6,-0.168352879,0.346839694
ARHGEF39,-0.322845303,0.006033354
NKD2,-0.202430137,0.087411595
H2AFX,0.065112954,0.65203792
HNRNPH1,-0.315339499,1.31E-09
TCF4,-0.46295446,0.001946168
CHEK2,-0.166030291,0.11156517
GDF11,-0.155288953,0.050020325
CNNM3,-0.126759623,0.15386077
PATZ1,-0.323233489,5.76E-07
SPOCK2,-0.416201848,0.018220381
CECR2,-0.57282526,0.000947675
RTTN,-0.543542502,1.98E-09
PITPNC1,-0.071787773,0.470528717
MCM10,-0.443487186,4.90E-17
ITGB3BP,-0.000443311,0.996004552
FAM20B,-0.274284162,5.26E-05
IRF2BP1,-0.0522584,0.631392164
FLVCR1,-0.222548798,0.02277531
KCNH8,-0.10072454,0.488754561
NUP107,-0.361419568,5.65E-11
ZWINT,-0.169681284,0.002007803
MYBL2,-0.311060558,3.77E-06
CUZD1,-0.253782101,0.129349108
TSEN15,0.157367766,0.042015192
FEZ2,0.011438424,0.917332785
DLG5,-0.387624531,3.42E-05
FAM161A,-0.306759278,0.010883708
PHACTR4,-0.40801228,6.11E-07
ZNF730,-0.553316063,0.000960238
ADAMTSL2,-0.310834928,0.069442487
ZNF419,-0.026068483,0.82863422
MICB,-0.3296644,7.69E-07
EIF4A2,-0.123573585,0.013005018
SLC25A15,-0.240014084,0.017623397
ADCY9,-0.455349544,0.005740105
HNRNPA1,-0.209173697,5.26E-06
SKI,-0.298109727,0.000219578
NEDD9,-0.414996273,5.52E-06
NUP35,-0.13718198,0.144572723
PHLDB2,-0.328635732,0.008875458
FAM102A,-0.164830279,0.246131163
TMSB15B,-0.305653853,0.032370652
GINS3,-0.247682385,0.000899056
PLCD3,-0.051997454,0.697271567
GLDN,-0.190837825,0.28559499
GCA,0.002141913,0.971168562
PIK3AP1,-0.802185232,3.51E-06
ZNF784,-0.037083448,0.812305038
ODF2,-0.301410022,2.57E-06
RAD51C,-0.156020078,0.030677225
OSBPL11,-0.349971,4.10E-09
SORD,-0.389716539,8.02E-07
ZNF136,-0.230774582,0.026369787
GDAP1,-0.30493199,0.010161599
ZNF449,0.02216058,0.888886383
SCN8A,-0.197042881,0.139636064
AFF1,-0.628970636,2.00E-18
KIFC1,-0.244442355,1.04E-05
SF3B3,-0.511265262,2.36E-42
ILKAP,-0.088113527,0.277941012
ABTB2,-0.264572802,0.134663027
CHST10,-0.169138496,0.074513756
F8,-0.030286932,0.858719503
PGAP1,-0.433254379,2.45E-06
RAB3B,-0.590485623,0.000838126
RORA,0.035520492,0.839935409
SPATA33,-0.181489344,0.124807341
TRIM28,-0.240200571,0.001513196
ARID1A,-0.461561289,3.80E-14
SCD5,-0.047975803,0.48947015
GPR153,-0.104835748,0.466046808
SLC44A5,-0.187525944,0.294456618
AP4M1,0.055663069,0.620018877
PKN2,-0.210747256,0.014419085
SNX16,-0.162739366,0.262815076
AC073612.1,-0.164884634,0.327986745
PBX4,-0.155088514,0.38938868
FP565260.7,0.014768372,0.922037932
ACBD7,-0.477480499,0.00040921
ZIC2,-0.315650944,0.003780419
RHOBTB2,-0.254073865,0.030123311
ZNF774,-0.135384073,0.438970493
NCKIPSD,-0.375646764,0.000375229
HSPA4L,-0.365768114,0.003637896
CCNA2,-0.238395029,2.66E-08
ST3GAL6,-0.184772018,0.293736283
CBX2,-0.421865483,1.39E-07
MAP7D3,-0.283259241,0.000183687
BMP2K,-0.423479546,4.03E-08
PPM1D,-0.191535336,0.007601708
BBS1,0.025662349,0.849849235
DPY19L4,-0.158174614,0.070686924
PAQR8,-0.371197662,6.08E-05
DDX11,-0.367362777,2.70E-06
PRR34,-0.062421061,0.651215395
PLGLB2,-0.199379576,0.153447549
NUMA1,-0.426504486,4.08E-09
PBK,-0.189045348,0.011829809
SMAD1,-0.168545385,0.280896038
CCNL2,0.017239056,0.882010455
MRVI1,-0.265955085,0.071141474
NHSL1,-0.216819111,0.222451406
MUC4,-0.185053843,0.15471943
ZNF491,0.030988378,0.849727176
PARD3,-0.305239378,1.53E-06
PTTG1,0.040023413,0.56487765
PRPF38B,-0.306589743,1.84E-06
GSN,-0.018308854,0.906109003
NAE1,-0.186854428,0.00039267
BACH2,-0.585880847,5.58E-05
ZGRF1,-0.447490877,1.25E-06
HHAT,-0.255251713,0.115838976
TMEM19,-0.085067045,0.21357077
ZNF724,-0.631269754,1.20E-06
ZNF441,-0.282390994,0.072851688
CDK13,-0.490998489,8.65E-20
POGK,-0.319737532,7.75E-11
NSD2,-0.526200986,1.16E-27
ZNF607,-0.285030496,0.003258863
HIST2H2AA3,0.28753129,0.100395402
MTRNR2L3,-0.425632561,0.008252286
CNN3,-0.363931874,0.005755783
TMPO,-0.385600682,5.36E-24
ZNF354B,-0.207548154,0.181147736
TMSB15B,-0.205293852,0.126401817
KLHDC8B,0.017539864,0.91684679
AMN1,0.026677075,0.856545305
CYB5A,0.102702526,0.28315765
LETM2,-0.099897522,0.47300467
NME4,-0.236096901,0.004636322
PM20D2,-0.313284184,1.14E-07
ZBTB39,-0.462610421,2.88E-07
NT5DC1,-0.16383599,0.152148908
NFYB,-0.252273172,0.000121123
SLC30A1,-0.235032985,0.019847061
GPSM1,-0.223726933,0.140753562
NSMAF,-0.233536467,0.0001558
CDC5L,-0.318108367,1.55E-08
AC087289.3,-0.325238529,0.065206224
VSIG10,0.178731859,0.318253749
TCTEX1D2,-0.298308183,0.020494566
ANKRD16,0.149698132,0.393531742
SLC35B4,-0.131317799,0.043223023
CTSH,-0.040518453,0.819492929
P2RX6,0.081905878,0.64016999
ZFYVE21,0.071614898,0.514416986
AC104662.2,-0.241149403,0.1511477
ENC1,-0.381697129,0.003102091
ALOX12B,-0.245032388,0.172099448
SNX14,0.106641062,0.28786879
SGPL1,-0.176011555,0.029068666
THOC1,-0.203671724,0.006750547
PMF1-BGLAP,-0.06645669,0.698299518
RRM1,-0.480960303,7.92E-30
BUD13,-0.210037969,0.008154923
NRM,-0.044331898,0.701242891
CRACR2A,-0.453114383,7.65E-06
POLA1,-0.628547563,1.13E-19
EFNA3,0.188220349,0.258178709
SCN1B,-0.237065013,0.049213194
DBF4,-0.32583902,9.75E-08
TMEM164,-0.427250848,1.22E-07
DMPK,-0.196464951,0.175346625
LMNB1,-0.531622662,6.38E-32
METAP1,-0.234755882,0.000703965
ZCRB1,0.052299172,0.459855033
AC010619.1,-0.040745716,0.800988709
STEAP1B,0.03955383,0.821157972
NR1D2,-0.209573653,0.008441586
PLEKHA2,-0.277817394,7.67E-06
WDHD1,-0.485581869,2.82E-17
GNPDA2,0.026456144,0.815713737
EHMT2,-0.420476816,7.66E-08
GPR157,-0.367014335,3.86E-06
KANSL1L,-0.386693139,0.007136677
TNFRSF14,-0.089019332,0.585852556
SGO1,-0.297080742,0.000131997
DSCC1,-0.307618411,2.30E-05
DBNDD2,-0.310595457,7.85E-05
MSH2,-0.245907045,0.089498167
PLEKHA7,-0.291989196,0.068005464
ZNF268,-0.223220974,0.004975719
SGO2,-0.189323157,0.004699134
CHRNA6,-0.334872319,0.043225068
PTPRF,-0.375179163,0.000374579
PDE1B,-0.030665758,0.855181152
RRAGB,-0.181843156,0.195740603
MTCP1,0.153736433,0.372494003
ARL2-SNX15,-0.209482794,0.19393841
POLM,-0.375706516,0.004928381
TXNRD3,-0.337970479,0.005617425
FLOT2,-0.189195885,0.009669676
AGK,-0.084895577,0.216556035
SLC22A5,-0.006232821,0.955041714
C1QL1,-0.232732507,0.150028672
TMEM56-RWDD3,-0.188012439,0.287592361
FAM133B,-0.056930888,0.435766489
NAB1,-0.344055634,0.000167876
MKL2,-0.625266279,4.74E-22
ABCD2,-0.167922469,0.206392033
MINOS1-NBL1,-0.155318949,0.387098615
E2F2,-0.359981914,5.11E-08
NFKB1,-0.499557516,9.67E-08
EFR3B,-0.560666602,0.000156018
RTKN2,-0.370220731,0.018431038
GABBR1,0.038205099,0.830021536
PHF14,-0.366024521,8.35E-09
BEST3,-0.658290593,0.000183418
ZNF696,-0.303146445,0.033133193
RAB23,-0.094757987,0.389728931
PRICKLE3,-0.067793062,0.659381782
SLC41A3,-0.006698094,0.943567356
CABLES2,-0.189446543,0.045585758
CENPV,-0.203140183,0.002222493
PELI1,-0.245278003,0.018106307
CRABP1,0.066117761,0.41826246
ZNF736,-0.471046959,2.00E-09
DUT,-0.152269883,0.002173177
LRCH3,-0.367420865,2.59E-06
ADAM11,-0.260072895,0.085121361
YLPM1,-0.662345414,7.85E-36
SNRNP48,-0.194300443,0.002827575
RAB11FIP3,-0.236916293,0.018310876
RIBC2,-0.229212657,0.164898567
AP5S1,-0.321155238,0.005515327
USP35,0.066724885,0.689931121
CENPH,-0.119807201,0.035746339
AC244197.3,-0.107167268,0.547949828
DAAM1,-0.223627603,0.004560725
AGL,-0.58491823,3.20E-22
CPNE2,-0.367645052,0.018015996
FGD1,-0.418115252,0.005916228
SMG9,-0.333863867,5.37E-05
FAM57B,-0.181445818,0.283281943
DOT1L,-0.383421348,8.18E-05
ZNF131,-0.180478295,0.001768165
EXOC6,-0.219202874,0.007442334
RELL1,-0.083870796,0.635284588
CNTLN,-0.305042869,0.002187849
ARHGAP19,-0.27526512,7.13E-11
RASL10B,-0.162308009,0.203884829
AC006486.1,-0.428574854,0.011246547
MRPL42,-0.276960116,1.03E-05
ASTE1,-0.254691277,0.033145035
HERC5,-0.477866628,0.005843115
RASA3,-0.323045853,0.000678447
FUT4,-0.25794782,0.030824701
MTERF3,-0.258727555,0.003458569
BBS2,-0.097485572,0.246428045
ZFP91-CNTF,-0.076248811,0.670643428
DPYD,-0.145427994,0.234353953
TRMT12,-0.082022414,0.47946125
B4GALT5,-0.240119781,4.35E-05
NCR3LG1,-0.723376313,1.33E-30
GTF2IRD2,-0.227368049,0.162802482
GINS1,-0.201178368,0.000700678
NAPEPLD,-0.341669313,0.002362445
FZD3,-0.315543647,0.003219893
L2HGDH,-0.341244549,4.78E-05
GJB2,-0.535055278,7.20E-05
ARID5A,0.150516991,0.286806712
PLXNB1,-0.29610731,0.062061475
GATA3,-0.511230415,1.06E-13
FBRSL1,-0.282569705,0.02093022
CLOCK,-0.37182684,0.02163032
NBPF10,-0.237187583,0.18480593
RPS6KL1,-0.012180013,0.941831666
ASPM,-0.654242149,3.30E-20
COL4A6,-0.092576215,0.532040351
CKAP5,-0.603810555,5.18E-33
TEX30,-0.183516232,0.033043101
SH3PXD2A,-0.280467052,0.045470285
KIF13A,-0.481676002,0.005377232
TJP2,-0.47876583,1.10E-06
PBLD,-0.200767987,0.207323059
ZNF738,-0.186978966,0.047713473
LUZP1,-0.510113634,2.48E-11
SENP8,0.071480201,0.657426801
RALGAPA2,-0.444377268,1.23E-05
ZMAT1,-0.323130648,0.061846263
ZNF250,-0.144080797,0.206818477
GPRC5C,-0.094439662,0.60121117
ID2,-0.059902023,0.729456698
NFKBIA,-0.139957274,0.198343992
WNK2,-0.130208573,0.164253291
MGEA5,-0.255240254,1.12E-05
SLC25A13,-0.352597115,0.015125265
RNF165,-0.620151149,3.06E-07
SRGAP1,-0.347818976,0.048890578
SNX8,-0.268285579,0.02696375
KIF14,-0.555913253,6.76E-15
MEIS2,-0.369778217,8.49E-05
FBXO21,-0.324276552,9.58E-07
C2CD5,-0.318920259,9.63E-06
ZNF575,0.119951347,0.505151361
S100A2,-0.057105856,0.717879859
ADGRA2,-0.331104694,0.003134558
ASAP1,-0.422384183,1.09E-05
RNF169,-0.502420364,4.27E-12
ATAD5,-0.720076791,1.02E-19
HLA-DOA,-0.095110153,0.57942068
SUPT16H,-0.504102532,7.38E-37
TBC1D2B,-0.332333529,2.04E-05
ENAH,-0.577344303,1.71E-14
ZNF260,-0.28293149,0.000132639
POLE2,-0.29777667,0.001552905
HOXB4,-0.199931226,0.068552787
LRRC28,-0.158715053,0.138341623
MTMR12,-0.3198351,0.000721884
BRMS1L,-0.026169791,0.825329065
RAD51D,-0.24197056,0.001499846
ATN1,-0.363395948,3.21E-05
NUSAP1,-0.218963667,1.68E-06
FAM193A,-0.4178444,6.59E-07
PCDHGA1,-0.203825444,0.192725955
TRIM36,-0.370983255,1.59E-11
SIPA1L1,-0.484345623,1.26E-14
NEU4,-0.172635305,0.312917476
NPIPA1,-0.134962271,0.449242113
SAPCD2,-0.191743668,0.077567128
MST1R,-0.239904905,0.114693824
NOG,-0.203298626,0.238023839
FAM71E1,-0.178527323,0.310855392
HIST2H2AC,-0.363415481,0.010475851
SPDL1,-0.279558772,6.73E-05
SAMD1,-0.398379161,6.08E-07
MUM1,-0.324369538,2.37E-05
ADAM22,-0.128508902,0.211205981
PNRC2,-0.069675708,0.135777245
SDCCAG3,-0.242579898,0.012322749
INPP5F,-0.334514145,0.003329541
FIGNL1,-0.399939559,1.11E-07
TBX1,-0.241434258,0.129997994
H3F3A,-0.081685739,0.092451225
SACS,-0.857289576,2.25E-25
EXO1,-0.501002002,2.30E-18
CYP27B1,-0.297167814,0.075278541
GCH1,-0.236781614,0.000748824
KEL,-0.097968111,0.532298982
SMARCA4,-0.554157644,4.01E-24
ADAT2,-0.256094287,0.040362907
BUB1B,-0.518027017,6.42E-32
PPM1E,-0.300963733,0.005376472
GLS2,-0.2206953,0.207225985
SCARB2,-0.181186883,0.041022794
SMC3,-0.458815901,1.82E-15
AC106886.5,-0.326540223,0.003428716
MAP3K20,-0.387126103,1.15E-10
ZXDA,0.128694092,0.423792577
HES5,0.09557713,0.381696785
PRRC2B,-0.583932135,3.13E-14
ZNF703,-0.055384701,0.717366626
TESK2,0.009254751,0.945619908
SAE1,-0.243115355,9.15E-10
SFR1,-0.198240507,0.130051283
ZNF573,-0.501003264,0.001482488
FBXO44,-0.052605004,0.649051664
NET1,-0.299107851,2.77E-09
SCNN1D,0.044559605,0.799729427
AC011448.1,-0.120651587,0.456485269
INTS2,-0.467474355,1.35E-16
MRE11,-0.465568288,2.15E-12
NMB,0.003436423,0.983903575
RARRES3,-0.154460536,0.219405025
COL18A1,-0.004604514,0.97834207
NBPF19,-0.157097143,0.260815933
HIVEP1,-0.503025306,0.004127937
ZFP69,-0.229613695,0.064833773
TSPAN14,-0.183533626,0.079619862
GLB1L2,-0.176178052,0.024422406
C7orf31,-0.414255358,0.000237087
POLE,-0.609602254,6.73E-22
CDK1,-0.188899105,0.001311007
PPP1R13L,-0.359955798,0.011687295
NCKAP1,-0.270378605,6.82E-06
PROSER3,-0.481181274,6.39E-06
CCDC15,-0.246866264,0.050391835
RABGAP1,-0.341320409,0.000236209
RFESD,-0.210439016,0.155938582
UBE2E3,-0.232659122,0.001109499
GTF2I,-0.571182947,2.34E-36
PRDM10,-0.513036187,1.92E-06
ISOC1,-0.129845987,0.085910625
BSN,-0.167852951,0.352976684
POLE4,0.055111876,0.601064964
KDM2B,-0.482168017,7.08E-13
CCDC77,-0.272461829,0.005605701
SMC6,-0.408402355,1.39E-08
SP110,-0.261194523,0.023779734
PDE4A,-0.414137499,0.000163742
FAM208A,-0.477838436,1.58E-23
SRSF1,-0.360771699,1.18E-19
SEPHS1,-0.298526872,6.20E-09
FAM131B,-0.274281958,0.0599099
IL17RD,-0.274753558,0.081262993
TRIM13,-0.345601589,1.46E-06
RLF,-0.374806334,3.73E-07
STIL,-0.443041197,4.82E-11
CSE1L,-0.338157702,5.14E-11
GLB1L3,-0.594116008,0.000369496
COPG2,-0.415841865,3.81E-11
INTS8,-0.173996995,0.00752035
KIAA1958,-0.511121738,3.88E-08
PLXNC1,0.062310996,0.553067849
ZNF517,0.051433667,0.768767518
PKN3,-0.270539437,0.030529759
NEDD4L,-0.346172894,0.009493451
DCAKD,0.056040735,0.516750656
FOXA1,-0.068213269,0.6873318
DSCAML1,-0.027822896,0.879734808
PRIM2,-0.238519572,0.000917664
MMD,-0.335975057,0.001520814
CXADR,-0.45245817,2.30E-05
ARHGAP11A,-0.541798566,6.06E-18
ZBED3,-0.458477896,1.54E-09
TCAF1,-0.481165795,1.74E-13
TERF1,-0.187104689,0.006374652
FOXP1,-0.277897185,0.000442337
DHFR,-0.328581558,4.68E-21
ZCCHC18,-0.118870256,0.509658455
S1PR1,-0.420055791,0.020450173
NUDT15,-0.232830726,0.002186736
POU2F2,-0.218642601,0.225545524
NFIA,-0.332046721,0.000476941
LRRC24,0.119346733,0.503734014
TANC1,-0.515793014,8.87E-08
FANCI,-0.427530084,8.66E-16
SUZ12,-0.453786961,6.99E-16
NDC80,-0.222045479,0.000594341
ABCB9,-0.197697334,0.150318058
NUP155,-0.580280051,7.01E-27
COIL,-0.354375407,9.11E-05
CIT,-0.477017256,1.66E-10
EED,-0.241904009,0.000875373
ZNF273,-0.318392058,7.96E-06
ZNF442,-0.340608737,0.053970427
PHC1,-0.306350026,0.000265716
KLHL23,-0.377622426,4.45E-11
MAPK11,-0.023563552,0.893925281
MELTF,-0.19876584,0.198584129
RACGAP1,-0.252954379,4.78E-08
TCFL5,-0.149427258,0.098641696
FLT4,-0.384196174,0.014293378
IFT46,0.048080188,0.604945414
BFSP1,-0.308746051,0.019747298
MARS2,-0.163830582,0.123344426
ERCC6,-0.269217039,0.010121017
LIMS2,0.030703336,0.79681397
SPC24,-0.184578427,0.019468945
FBXO10,0.080566369,0.558650414
CCT6B,-0.252220073,0.157904539
BUB1,-0.253431071,1.64E-10
NEK9,-0.185731887,0.001719309
DNM1L,-0.320176329,9.65E-08
MIS18BP1,-0.321407179,0.000137245
PLEKHH1,-0.322618198,0.066189596
CCNI2,-0.393240018,2.34E-17
ST20-MTHFS,0.091661489,0.551081461
PHLPP2,-0.429681551,5.53E-07
NHLRC2,-0.373833659,7.04E-07
PDGFA,-0.156271143,0.302834552
SYNE2,-0.683480837,7.02E-07
LIMK2,-0.332062324,9.97E-06
FUS,-0.492474421,2.11E-21
PRDM15,-0.469053826,0.000177684
BEND3,-0.462453575,2.50E-05
SMC4,-0.401981325,5.15E-14
ORAI3,-0.060182983,0.740353913
SGCB,-0.255023186,0.000456818
RDX,-0.192046497,0.01040593
CENPVL1,-0.055250168,0.749833418
CEP170B,-0.147187986,0.314866283
WDCP,-0.283189637,0.000163832
SPAG5,-0.403634099,9.61E-11
HIC1,-0.096476125,0.582079933
KCNJ13,-0.224231928,0.167439488
AJUBA,-0.382815105,0.004108801
SELL,-0.267400509,0.062472386
NEU3,-0.540412492,4.37E-18
RAPH1,-0.57457367,2.49E-06
CKAP2L,-0.401225571,3.09E-08
HMGXB4,-0.234939233,0.00012134
ARHGEF3,-0.228612189,0.104907515
SCRIB,-0.244783485,0.028822849
GTDC1,-0.095953259,0.524711855
RASA2,-0.392088734,3.79E-08
KIF4A,-0.431108542,2.06E-13
LUC7L,-0.337128866,2.00E-05
FRAS1,-0.211044879,0.213072934
SLC7A7,-0.470969513,0.006147833
TRAF3,-0.494759048,3.34E-13
EP400NL,-0.214724044,0.143407979
ZNF169,-0.165989431,0.364535793
DNMBP,-0.599133623,4.89E-20
CHRNA5,-0.270830673,0.005181181
RTL5,-0.179643602,0.333354154
CASP8AP2,-0.509995198,1.86E-07
SLC19A2,-0.005289996,0.97292392
TUBB4B,-0.145019641,0.014098357
UNKL,0.006856577,0.963887081
DENND6A,-0.337272762,1.58E-08
NRGN,-0.032597958,0.851374898
GOLM1,-0.345194189,5.99E-05
ANKAR,-0.195745918,0.277585021
TUSC5,-0.381849942,0.0346547
RFC3,-0.415445352,2.49E-13
CENPU,-0.242181179,2.81E-05
TMEFF1,-0.314796811,0.079302074
FAM117B,-0.39482734,3.54E-08
CARHSP1,-0.054188393,0.382990916
TIAF1,-0.37271485,0.041598553
STK3,-0.264554279,0.00246974
SORBS1,-0.367637132,0.034405502
TGFBRAP1,-0.404735902,1.37E-06
EPC2,-0.401328572,2.24E-06
DUSP14,-0.002106935,0.982648988
CRLF3,-0.192810108,0.022203015
ZNF558,-0.002254719,0.988259906
RXRA,-0.288064331,0.091408215
MRNIP,-0.114563412,0.431116586
LINC00672,-0.206933517,0.230794966
STMN1,-0.182177125,7.34E-05
SIPA1L2,-0.38010255,0.031625723
HMGB2,-0.133905173,0.015188714
NLN,-0.597155113,2.15E-12
KCNQ2,-0.13587858,0.208249299
PFKM,-0.372818569,3.21E-07
RBL1,-0.458499634,1.91E-10
MND1,-0.267503155,0.000271916
